feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
0.304717,-1.039984,0.750451,0.940565,-1.951035,-1.302179,0.127840,-0.316243,-0.016801,-0.853044
0.879398,0.777792,0.066031,1.127241,0.467509,-0.859292,0.368751,-0.958883,0.878450,-0.049926
-0.184862,-0.680930,1.222541,-0.154529,-0.428328,-0.352134,0.532309,0.365444,0.412733,0.430821
2.141648,-0.406415,-0.512243,-0.813773,0.615979,1.128972,-0.113947,-0.840156,-0.824481,0.650593
0.743254,0.543154,-0.665510,0.232161,0.116686,0.218689,0.871429,0.223596,0.678914,0.067579
0.289119,0.631288,-1.457156,-0.319671,-0.470373,-0.638878,-0.275142,1.494941,-0.865831,0.968278
-1.682870,-0.334885,0.162753,0.586222,0.711227,0.793347,-0.348725,-0.462352,0.857976,-0.191304
-1.275686,-1.133287,-0.919452,0.497161,0.142426,0.690485,-0.427253,0.158540,0.625590,-0.309347
0.456775,-0.661926,-0.363054,-0.381738,-1.195840,0.486972,-0.469402,0.012494,0.480747,0.446531
0.665385,-0.098485,-0.423298,-0.079718,-1.687334,-1.447112,-1.322700,-0.997247,0.399774,-0.905479
-0.378163,1.299228,-0.356264,0.737516,-0.933618,-0.205438,-0.950022,-0.339033,0.840308,-1.727320
0.434424,0.237736,-0.594150,-1.446058,0.072130,-0.529493,0.232676,0.021852,1.601779,-0.239356
-1.023497,0.179276,0.219997,1.359188,0.835111,0.356871,1.463303,-1.188763,-0.639752,-0.926576
-0.389810,-1.376686,0.635151,-0.222223,-1.470806,-1.015579,0.313514,0.838127,1.996731,2.913862
0.414409,-0.989538,-2.132046,0.267711,-0.812941,-0.415357,-0.612097,-0.140791,1.065980,0.157049
